alarm_id,alarm_cause,alarm_cause_value,alarm_description,sensor_node_id,time_stamp
3fb80fbd-e933-4ee7-93d9-d24ff6cd4b01,body_temperature,33.9,Temperature is too low,12345678-90ab-cdef-1234-567890abcdef,2024-09-20 19:58:33.000+0000
8d7bff4c-1db9-4007-8da2-353bc1d028f7,body_temperature,32.6,Temperature is too low,b2c3d4e5-f678-9012-3456-7890abcdef12,2024-09-20 20:40:35.000+0000
5255a641-d14a-4e84-a559-48534567baad,body_temperature,33.6,Temperature is too low,b2c3d4e5-f678-9012-3456-7890abcdef12,2024-09-20 22:03:33.000+0000
01ec19f4-3317-466a-a346-099ee221f8fc,body_temperature,37.1,Temperature is too high,f6789012-3456-7890-abcd-ef1234567890,2024-09-20 20:05:33.000+0000
d5f3b8b3-039d-491d-8bbf-d9de1b9253fa,room_humidity,64.1,Room humidity is too high,01234567-89ab-cdef-1234-567890abcdef,2024-09-20 21:21:33.000+0000
e113e5f5-5b4e-4d26-bdf5-6e4be83c9035,body_temperature,37.9,Temperature is too high,c3d4e5f6-7890-1234-5678-90abcdef1234,2024-09-20 20:50:35.000+0000
c6b70dc2-9086-43ea-b549-ed926d5ca121,pulse_rate,49.0,Pulse rate is too low,01234567-89ab-cdef-1234-567890abcdef,2024-09-20 20:50:33.000+0000
c4b736ff-10bb-417a-9c73-5686e613f162,pulse_rate,124.0,Pulse rate is too high,e5f67890-1234-5678-90ab-cdef12345678,2024-09-20 20:09:33.000+0000
f296c1ca-0b72-4977-8d99-430127f19b13,room_temperature,28.8,Room temperature is too high,d4e5f678-9012-3456-7890-abcdef123456,2024-09-20 20:08:35.000+0000
8587f015-4def-4a72-9f0a-7656c1e38485,body_temperature,39.8,Temperature is too high,12345678-90ab-cdef-1234-567890abcdef,2024-09-20 20:43:33.000+0000
2bf20fe3-1fa6-42c1-a16e-f173d76b85be,pulse_rate,44.0,Pulse rate is too low,c3d4e5f6-7890-1234-5678-90abcdef1234,2024-09-20 21:03:33.000+0000
2aa0c712-bb96-44bf-a9bc-0b10a5f4d6aa,room_humidity,69.5,Room humidity is too high,f6789012-3456-7890-abcd-ef1234567890,2024-09-20 21:25:35.000+0000
b37b4e08-fb09-4bcf-925c-4f2ae9c66e03,body_temperature,34.5,Temperature is too low,f6789012-3456-7890-abcd-ef1234567890,2024-09-20 20:45:35.000+0000
29abdaed-4bdc-4a00-b5f8-7e1f1a7930fd,room_temperature,29.9,Room temperature is too high,a1b2c3d4-e5f6-7890-1234-567890abcdef,2024-09-20 21:23:35.000+0000
adf146f0-1e09-493d-a1dc-ed46c36bd6ff,room_temperature,27.4,Room temperature is too high,34567890-1bcd-ef23-4567-890abcdef123,2024-09-20 21:35:36.000+0000
30321512-4871-441f-b53c-ade354b43f68,pulse_rate,129.0,Pulse rate is too high,12345678-90ab-cdef-1234-567890abcdef,2024-09-20 20:12:35.000+0000
f822de07-4fc8-48d5-9a7a-147d85023913,body_temperature,43.2,Temperature is too high,23456789-0abc-def1-2345-67890abcdef1,2024-09-20 20:08:36.000+0000
cc9e7181-8f93-4145-8210-09bf30e34877,room_temperature,19.7,Room temperature is too low,e5f67890-1234-5678-90ab-cdef12345678,2024-09-20 22:10:33.000+0000
